mins,type,detail,player,teamName,id_match
8,Goal,Normal Goal,A. Lacazette,Arsenal,592143
49,Goal,Normal Goal,Gabriel Magalhães,Arsenal,592143
57,Goal,Normal Goal,P. Aubameyang,Arsenal,592143
13,Goal,Normal Goal,W. Zaha,Crystal Palace,592142
4,Goal,Penalty,Mohamed Salah,Liverpool,592144
12,Goal,Normal Goal,J. Harrison,Leeds,592144
20,Goal,Normal Goal,V. van Dijk,Liverpool,592144
30,Goal,Normal Goal,P. Bamford,Leeds,592144
33,Goal,Normal Goal,Mohamed Salah,Liverpool,592144
66,Goal,Normal Goal,M. Klich,Leeds,592144
88,Goal,Penalty,Mohamed Salah,Liverpool,592144
56,Goal,Normal Goal,C. Wilson,Newcastle,592148
87,Goal,Normal Goal,J. Hendrick,Newcastle,592148
56,Goal,Normal Goal,T. Castagne,Leicester,592147
74,Goal,Penalty,J. Vardy,Leicester,592147
84,Goal,Penalty,J. Vardy,Leicester,592147
55,Goal,Normal Goal,D. Calvert-Lewin,Everton,592146
3,Goal,Normal Goal,R. Jiménez,Wolves,592150
6,Goal,Normal Goal,R. Saïss,Wolves,592150
23,Goal,Penalty,Jorginho,Chelsea,592149
54,Goal,Normal Goal,L. Trossard,Brighton,592149
56,Goal,Normal Goal,R. James,Chelsea,592149
66,Goal,Normal Goal,K. Zouma,Chelsea,592149
10,Goal,Normal Goal,G. Diangana,West Brom,592154
31,Goal,Normal Goal,D. Calvert-Lewin,Everton,592154
45,Goal,Normal Goal,J. Rodríguez,Everton,592154
47,Goal,Normal Goal,Matheus Pereira,West Brom,592154
54,Goal,Normal Goal,M. Keane,Everton,592154
62,Goal,Normal Goal,D. Calvert-Lewin,Everton,592154
66,Goal,Normal Goal,D. Calvert-Lewin,Everton,592154
5,Goal,Normal Goal,Hélder Costa,Leeds,592155
34,Goal,Penalty,A. Mitrović,Fulham,592155
41,Goal,Penalty,M. Klich,Leeds,592155
50,Goal,Normal Goal,P. Bamford,Leeds,592155
57,Goal,Normal Goal,Hélder Costa,Leeds,592155
62,Goal,Normal Goal,B. De Cordova-Reid,Fulham,592155
67,Goal,Normal Goal,A. Mitrović,Fulham,592155
7,Goal,Normal Goal,A. Townsend,Crystal Palace,592157
74,Goal,Penalty,W. Zaha,Crystal Palace,592157
80,Goal,Normal Goal,D. van de Beek,Manchester United,592157
85,Goal,Normal Goal,W. Zaha,Crystal Palace,592157
25,Goal,Normal Goal,A. Lacazette,Arsenal,592151
45,Goal,Normal Goal,M. Antonio,West Ham,592151
85,Goal,Normal Goal,E. Nketiah,Arsenal,592151
32,Goal,Normal Goal,D. Ings,Southampton,592159
45,Goal,Normal Goal,Son Heung-Min,Tottenham,592159
47,Goal,Normal Goal,Son Heung-Min,Tottenham,592159
64,Goal,Normal Goal,Son Heung-Min,Tottenham,592159
73,Goal,Normal Goal,Son Heung-Min,Tottenham,592159
82,Goal,Normal Goal,H. Kane,Tottenham,592159
90,Goal,Penalty,D. Ings,Southampton,592159
4,Goal,Penalty,N. Maupay,Brighton,592158
7,Goal,Normal Goal,N. Maupay,Brighton,592158
83,Goal,Normal Goal,A. Connolly,Brighton,592158
50,Goal,Normal Goal,S. Mané,Liverpool,592153
54,Goal,Normal Goal,S. Mané,Liverpool,592153
10,Goal,Normal Goal,C. Wood,Burnley,592156
20,Goal,Normal Goal,H. Barnes,Leicester,592156
50,Goal,Own Goal,E. Pieters,Leicester,592156
61,Goal,Normal Goal,J. Justin,Leicester,592156
73,Goal,Normal Goal,J. Dunne,Burnley,592156
79,Goal,Normal Goal,D. Praet,Leicester,592156
63,Goal,Normal Goal,E. Konsa,Aston Villa,592152
20,Goal,Penalty,K. De Bruyne,Manchester City,592160
32,Goal,Normal Goal,P. Foden,Manchester City,592160
78,Goal,Normal Goal,R. Jiménez,Wolves,592160
90,Goal,Normal Goal,Gabriel Jesus,Manchester City,592160
40,Goal,Penalty,N. Maupay,Brighton,592161
43,Goal,Own Goal,L. Dunk,Manchester United,592161
55,Goal,Normal Goal,M. Rashford,Manchester United,592161
90,Goal,Normal Goal,S. March,Brighton,592161
90,Goal,Penalty,0                         Bruno Fernandes,Manchester United,592161
10,Goal,Normal Goal,D. Calvert-Lewin,Everton,592163
26,Goal,Normal Goal,C. Kouyaté,Crystal Palace,592163
40,Goal,Penalty,Richarlison,Everton,592163
4,Goal,Normal Goal,C. Robinson,West Brom,592169
25,Goal,Normal Goal,C. Robinson,West Brom,592169
27,Goal,Normal Goal,K. Bartley,West Brom,592169
55,Goal,Normal Goal,M. Mount,Chelsea,592169
70,Goal,Normal Goal,C. Hudson-Odoi,Chelsea,592169
90,Goal,Normal Goal,T. Abraham,Chelsea,592169
5,Goal,Normal Goal,D. Ings,Southampton,592162
88,Goal,Normal Goal,P. Bamford,Leeds,592167
25,Goal,Normal Goal,Lucas Moura,Tottenham,592168
90,Goal,Penalty,C. Wilson,Newcastle,592168
4,Goal,Normal Goal,R. Mahrez,Manchester City,592166
37,Goal,Penalty,J. Vardy,Leicester,592166
53,Goal,Normal Goal,J. Vardy,Leicester,592166
58,Goal,Penalty,J. Vardy,Leicester,592166
77,Goal,Normal Goal,J. Maddison,Leicester,592166
84,Goal,Normal Goal,N. Aké,Manchester City,592166
88,Goal,Penalty,Y. Tielemans,Leicester,592166
17,Goal,Normal Goal,J. Bowen,West Ham,592170
57,Goal,Normal Goal,J. Bowen,West Ham,592170
66,Goal,Own Goal,R. Jiménez,West Ham,592170
90,Goal,Normal Goal,S. Haller,West Ham,592170
4,Goal,Normal Goal,J. Grealish,Aston Villa,592164
15,Goal,Normal Goal,C. Hourihane,Aston Villa,592164
48,Goal,Normal Goal,T. Mings,Aston Villa,592164
25,Goal,Normal Goal,A. Lacazette,Arsenal,592165
28,Goal,Normal Goal,S. Mané,Liverpool,592165
34,Goal,Normal Goal,A. Robertson,Liverpool,592165
88,Goal,Normal Goal,Diogo Jota,Liverpool,592165
50,Goal,Normal Goal,B. Chilwell,Chelsea,592173
66,Goal,Normal Goal,K. Zouma,Chelsea,592173
78,Goal,Penalty,Jorginho,Chelsea,592173
82,Goal,Penalty,Jorginho,Chelsea,592173
16,Goal,Normal Goal,D. Calvert-Lewin,Everton,592174
41,Goal,Normal Goal,N. Maupay,Brighton,592174
45,Goal,Normal Goal,Y. Mina,Everton,592174
52,Goal,Normal Goal,J. Rodríguez,Everton,592174
70,Goal,Normal Goal,J. Rodríguez,Everton,592174
90,Goal,Normal Goal,Y. Bissouma,Brighton,592174
17,Goal,Normal Goal,R. Sterling,Manchester City,592175
59,Goal,Normal Goal,Rodrigo,Leeds,592175
14,Goal,Normal Goal,A. Saint-Maximin,Newcastle,592178
61,Goal,Normal Goal,A. Westwood,Burnley,592178
65,Goal,Normal Goal,C. Wilson,Newcastle,592178
77,Goal,Penalty,C. Wilson,Newcastle,592178
14,Goal,Normal Goal,M. Antonio,West Ham,592176
34,Goal,Normal Goal,Pablo Fornals,West Ham,592176
83,Goal,Normal Goal,J. Bowen,West Ham,592176
41,Goal,Normal Goal,M. Djenepo,Southampton,592179
69,Goal,Normal Goal,Oriol Romeu,Southampton,592179
61,Goal,Normal Goal,B. Saka,Arsenal,592171
64,Goal,Normal Goal,N. Pépé,Arsenal,592171
84,Goal,Normal Goal,D. McGoldrick,Sheffield Utd,592171
56,Goal,Normal Goal,Pedro Neto,Wolves,592180
2,Goal,Penalty,Bruno Fernandes,Manchester United,592177
4,Goal,Normal Goal,T. Ndombèlé,Tottenham,592177
7,Goal,Normal Goal,Son Heung-Min,Tottenham,592177
30,Goal,Normal Goal,H. Kane,Tottenham,592177
37,Goal,Normal Goal,Son Heung-Min,Tottenham,592177
51,Goal,Normal Goal,S. Aurier,Tottenham,592177
79,Goal,Penalty,H. Kane,Tottenham,592177
4,Goal,Normal Goal,O. Watkins,Aston Villa,592172
22,Goal,Normal Goal,O. Watkins,Aston Villa,592172
33,Goal,Normal Goal,Mohamed Salah,Liverpool,592172
35,Goal,Normal Goal,J.  McGinn,Aston Villa,592172
39,Goal,Normal Goal,O. Watkins,Aston Villa,592172
55,Goal,Normal Goal,R. Barkley,Aston Villa,592172
60,Goal,Normal Goal,Mohamed Salah,Liverpool,592172
66,Goal,Normal Goal,J. Grealish,Aston Villa,592172
75,Goal,Normal Goal,J. Grealish,Aston Villa,592172
3,Goal,Normal Goal,S. Mané,Liverpool,592183
19,Goal,Normal Goal,M. Keane,Everton,592183
72,Goal,Normal Goal,Mohamed Salah,Liverpool,592183
81,Goal,Normal Goal,D. Calvert-Lewin,Everton,592183
15,Goal,Normal Goal,T. Werner,Chelsea,592181
28,Goal,Normal Goal,T. Werner,Chelsea,592181
43,Goal,Normal Goal,D. Ings,Southampton,592181
57,Goal,Normal Goal,C. Adams,Southampton,592181
59,Goal,Normal Goal,K. Havertz,Chelsea,592181
90,Goal,Normal Goal,J. Vestergaard,Southampton,592181
23,Goal,Normal Goal,R. Sterling,Manchester City,592186
2,Goal,Own Goal,L. Shaw,Newcastle,592187
23,Goal,Normal Goal,H. Maguire,Manchester United,592187
86,Goal,Normal Goal,Bruno Fernandes,Manchester United,592187
90,Goal,Normal Goal,A. Wan-Bissaka,Manchester United,592187
90,Goal,Normal Goal,M. Rashford,Manchester United,592187
77,Goal,Normal Goal,A. Lookman,Fulham,592188
85,Goal,Penalty,B. Sharp,Sheffield Utd,592188
19,Goal,Penalty,W. Zaha,Crystal Palace,592182
90,Goal,Normal Goal,A. Mac Allister,Brighton,592182
1,Goal,Normal Goal,Son Heung-Min,Tottenham,592189
8,Goal,Normal Goal,H. Kane,Tottenham,592189
16,Goal,Normal Goal,H. Kane,Tottenham,592189
82,Goal,Normal Goal,F. Balbuena,West Ham,592189
85,Goal,Own Goal,D. Sánchez,West Ham,592189
90,Goal,Normal Goal,M. Lanzini,West Ham,592189
90,Goal,Normal Goal,R. Barkley,Aston Villa,592185
70,Goal,Normal Goal,R. Jiménez,Wolves,592184
55,Goal,Normal Goal,P. Bamford,Leeds,592192
67,Goal,Normal Goal,P. Bamford,Leeds,592192
74,Goal,Normal Goal,P. Bamford,Leeds,592192
18,Goal,Normal Goal,M. Antonio,West Ham,592199
51,Goal,Normal Goal,P. Foden,Manchester City,592199
13,Goal,Penalty,S. Berge,Sheffield Utd,592196
41,Goal,Normal Goal,Roberto Firmino,Liverpool,592196
64,Goal,Normal Goal,Diogo Jota,Liverpool,592196
27,Goal,Normal Goal,J. Ward-Prowse,Southampton,592198
35,Goal,Normal Goal,C. Adams,Southampton,592198
80,Goal,Normal Goal,R. Jiménez,Wolves,592200
89,Goal,Normal Goal,J. Murphy,Newcastle,592200
80,Goal,Normal Goal,J. Vardy,Leicester,592191
40,Goal,Own Goal,J. Livermore,Brighton,592193
83,Goal,Normal Goal,K. Ahearne-Grant,West Brom,592193
76,Goal,Normal Goal,Son Heung-Min,Tottenham,592194
18,Goal,Normal Goal,R. Aït Nouri,Wolves,592210
27,Goal,Normal Goal,Daniel Podence,Wolves,592210
28,Goal,Normal Goal,K. Walker,Manchester City,592208
26,Goal,Normal Goal,H. Ziyech,Chelsea,592202
63,Goal,Normal Goal,K. Zouma,Chelsea,592202
70,Goal,Normal Goal,T. Werner,Chelsea,592202
10,Goal,Normal Goal,Pablo Fornals,West Ham,592205
42,Goal,Penalty,Mohamed Salah,Liverpool,592205
85,Goal,Normal Goal,Diogo Jota,Liverpool,592205
20,Goal,Normal Goal,J. Vestergaard,Southampton,592201
33,Goal,Normal Goal,J. Ward-Prowse,Southampton,592201
45,Goal,Normal Goal,J. Ward-Prowse,Southampton,592201
58,Goal,Normal Goal,D. Ings,Southampton,592201
62,Goal,Normal Goal,T. Mings,Aston Villa,592201
90,Goal,Penalty,O. Watkins,Aston Villa,592201
90,Goal,Normal Goal,J. Grealish,Aston Villa,592201
56,Goal,Penalty,C. Wilson,Newcastle,592207
84,Goal,Normal Goal,C. Wilson,Newcastle,592207
90,Goal,Normal Goal,D. Calvert-Lewin,Everton,592207
69,Goal,Penalty,P. Aubameyang,Arsenal,592206
13,Goal,Penalty,H. Kane,Tottenham,592209
56,Goal,Normal Goal,T. Lamptey,Brighton,592209
73,Goal,Normal Goal,G. Bale,Tottenham,592209
26,Goal,Normal Goal,B. De Cordova-Reid,Fulham,592203
30,Goal,Normal Goal,O. Aina,Fulham,592203
3,Goal,Normal Goal,H. Barnes,Leicester,592204
21,Goal,Normal Goal,Y. Tielemans,Leicester,592204
48,Goal,Normal Goal,S. Dallas,Leeds,592204
76,Goal,Normal Goal,J. Vardy,Leicester,592204
90,Goal,Penalty,Y. Tielemans,Leicester,592204
7,Goal,Normal Goal,C. Adams,Southampton,592218
82,Goal,Normal Goal,S. Armstrong,Southampton,592218
19,Goal,Normal Goal,Bernard,Everton,592215
25,Goal,Normal Goal,Bruno Fernandes,Manchester United,592215
32,Goal,Normal Goal,Bruno Fernandes,Manchester United,592215
90,Goal,Normal Goal,E. Cavani,Manchester United,592215
12,Goal,Normal Goal,S. Dann,Crystal Palace,592214
22,Goal,Normal Goal,E. Eze,Crystal Palace,592214
27,Goal,Normal Goal,P. Bamford,Leeds,592214
42,Goal,Own Goal,Hélder Costa,Crystal Palace,592214
70,Goal,Normal Goal,J. Ayew,Crystal Palace,592214
9,Goal,Normal Goal,D. McGoldrick,Sheffield Utd,592213
23,Goal,Normal Goal,T. Abraham,Chelsea,592213
34,Goal,Normal Goal,B. Chilwell,Chelsea,592213
77,Goal,Normal Goal,Thiago Silva,Chelsea,592213
80,Goal,Normal Goal,T. Werner,Chelsea,592213
90,Goal,Normal Goal,T. Souček,West Ham,592220
88,Goal,Normal Goal,H. Kane,Tottenham,592219
15,Goal,Penalty,J. Vardy,Leicester,592216
13,Goal,Penalty,Mohamed Salah,Liverpool,592217
31,Goal,Normal Goal,Gabriel Jesus,Manchester City,592217
25,Goal,Own Goal,B. Saka,Aston Villa,592211
72,Goal,Normal Goal,O. Watkins,Aston Villa,592211
75,Goal,Normal Goal,O. Watkins,Aston Villa,592211
10,Goal,Own Goal,F. Fernández,Chelsea,592227
65,Goal,Normal Goal,T. Abraham,Chelsea,592227
12,Goal,Normal Goal,D. Welbeck,Brighton,592221
47,Goal,Normal Goal,E. Konsa,Aston Villa,592221
56,Goal,Normal Goal,S. March,Brighton,592221
5,Goal,Normal Goal,Son Heung-Min,Tottenham,592229
65,Goal,Normal Goal,G. Lo Celso,Tottenham,592229
56,Goal,Penalty,Bruno Fernandes,Manchester United,592226
1,Goal,Normal Goal,D. Calvert-Lewin,Everton,592223
