mins,type,detail,player,teamName,id_match
3,Goal,Penalty,P. Pogba,Manchester United,65
83,Goal,Normal Goal,L. Shaw,Manchester United,65
90,Goal,Normal Goal,J. Vardy,Leicester,65
8,Goal,Normal Goal,J. Vertonghen,Tottenham,66
11,Goal,Normal Goal,Joselu,Newcastle,66
18,Goal,Normal Goal,D. Alli,Tottenham,66
24,Goal,Normal Goal,R. Fraser,Bournemouth,67
90,Goal,Normal Goal,C. Wilson,Bournemouth,67
41,Goal,Normal Goal,J. Schlupp,Crystal Palace,68
79,Goal,Normal Goal,W. Zaha,Crystal Palace,68
34,Goal,Normal Goal,N. Kanté,Chelsea,69
45,Goal,Penalty,Jorginho,Chelsea,69
80,Goal,Normal Goal,Pedro,Chelsea,69
35,Goal,Normal Goal,R. Pereyra,Watford,70
54,Goal,Normal Goal,R. Pereyra,Watford,70
17,Goal,Normal Goal,Richarlison,Everton,71
44,Goal,Normal Goal,Rúben Neves,Wolves,71
67,Goal,Normal Goal,Richarlison,Everton,71
80,Goal,Normal Goal,R. Jiménez,Wolves,71
19,Goal,Normal Goal,Mohamed Salah,Liverpool,72
45,Goal,Normal Goal,S. Mané,Liverpool,72
53,Goal,Normal Goal,S. Mané,Liverpool,72
88,Goal,Normal Goal,D. Sturridge,Liverpool,72
14,Goal,Normal Goal,R. Sterling,Manchester City,74
64,Goal,Normal Goal,Bernardo Silva,Manchester City,74
15,Goal,Normal Goal,T. Walcott,Everton,77
31,Goal,Normal Goal,Richarlison,Everton,77
54,Goal,Normal Goal,D. Ings,Southampton,77
29,Goal,Own Goal,M. Doherty,Leicester,78
45,Goal,Normal Goal,J. Maddison,Leicester,78
43,Goal,Normal Goal,Lucas Moura,Tottenham,79
52,Goal,Normal Goal,A. Mitrović,Fulham,79
74,Goal,Normal Goal,K. Trippier,Tottenham,79
77,Goal,Normal Goal,H. Kane,Tottenham,79
33,Goal,Penalty,M. Arnautović,West Ham,80
60,Goal,Normal Goal,C. Wilson,Bournemouth,80
66,Goal,Normal Goal,S. Cook,Bournemouth,80
9,Goal,Normal Goal,Pedro,Chelsea,81
20,Goal,Normal Goal,Álvaro Morata,Chelsea,81
37,Goal,Normal Goal,H. Mkhitaryan,Arsenal,81
41,Goal,Normal Goal,A. Iwobi,Arsenal,81
81,Goal,Normal Goal,Marcos Alonso,Chelsea,81
3,Goal,Normal Goal,A. Gray,Watford,76
6,Goal,Normal Goal,J. Tarkowski,Burnley,76
48,Goal,Normal Goal,T. Deeney,Watford,76
51,Goal,Normal Goal,W. Hughes,Watford,76
25,Goal,Normal Goal,S. Agüero,Manchester City,82
31,Goal,Normal Goal,Gabriel Jesus,Manchester City,82
35,Goal,Normal Goal,S. Agüero,Manchester City,82
43,Goal,Normal Goal,J. Stankovič,Huddersfield,82
48,Goal,Normal Goal,David Silva,Manchester City,82
75,Goal,Normal Goal,S. Agüero,Manchester City,82
84,Goal,Own Goal,T. Kongolo,Manchester City,82
25,Goal,Normal Goal,G. Murray,Brighton,83
27,Goal,Normal Goal,S. Duffy,Brighton,83
34,Goal,Normal Goal,R. Lukaku,Manchester United,83
44,Goal,Penalty,P. Groß,Brighton,83
90,Goal,Penalty,P. Pogba,Manchester United,83
45,Goal,Penalty,J. Milner,Liverpool,84
90,Goal,Normal Goal,S. Mané,Liverpool,84
57,Goal,Normal Goal,W. Boly,Wolves,85
69,Goal,Normal Goal,A. Laporte,Manchester City,85
25,Goal,Normal Goal,M. Arnautović,West Ham,86
30,Goal,Normal Goal,Nacho Monreal,Arsenal,86
70,Goal,Own Goal,I. Diop,Arsenal,86
90,Goal,Normal Goal,D. Welbeck,Arsenal,86
56,Goal,Normal Goal,T. Walcott,Everton,87
66,Goal,Normal Goal,M. Keane,Everton,87
75,Goal,Penalty,J. King,Bournemouth,87
79,Goal,Normal Goal,N. Aké,Bournemouth,87
52,Goal,Normal Goal,R. Bertrand,Southampton,90
56,Goal,Normal Goal,D. Gray,Leicester,90
90,Goal,Normal Goal,H. Maguire,Leicester,90
23,Goal,Normal Goal,Mohamed Salah,Liverpool,91
53,Goal,Normal Goal,R. Pereyra,Watford,92
71,Goal,Normal Goal,J. Holebas,Watford,92
78,Goal,Normal Goal,W. Zaha,Crystal Palace,92
4,Goal,Normal Goal,J. Seri,Fulham,88
10,Goal,Normal Goal,J. Hendrick,Burnley,88
36,Goal,Normal Goal,A. Mitrović,Fulham,88
38,Goal,Normal Goal,A. Mitrović,Fulham,88
41,Goal,Normal Goal,J. Tarkowski,Burnley,88
83,Goal,Normal Goal,A. Schürrle,Fulham,88
76,Goal,Penalty,E. Hazard,Chelsea,93
83,Goal,Normal Goal,Joselu,Newcastle,93
87,Goal,Own Goal,D. Yedlin,Chelsea,93
50,Goal,Normal Goal,H. Kane,Tottenham,94
52,Goal,Normal Goal,Lucas Moura,Tottenham,94
84,Goal,Normal Goal,Lucas Moura,Tottenham,94
10,Goal,Normal Goal,S. Mané,Liverpool,95
45,Goal,Normal Goal,Roberto Firmino,Liverpool,95
63,Goal,Normal Goal,R. Ghezzal,Leicester,95
43,Goal,Normal Goal,A. Schürrle,Fulham,96
62,Goal,Normal Goal,A. Mitrović,Fulham,96
67,Goal,Normal Goal,G. Murray,Brighton,96
84,Goal,Penalty,G. Murray,Brighton,96
72,Goal,Normal Goal,Pedro,Chelsea,98
85,Goal,Normal Goal,E. Hazard,Chelsea,98
47,Goal,Normal Goal,D. Ings,Southampton,99
90,Goal,Normal Goal,P. Højbjerg,Southampton,99
34,Goal,Normal Goal,P. Billing,Huddersfield,100
36,Goal,Normal Goal,D. Calvert-Lewin,Everton,100
90,Goal,Normal Goal,Adama Traoré,Wolves,101
8,Goal,Normal Goal,R. Sterling,Manchester City,102
30,Goal,Normal Goal,D. Yedlin,Newcastle,102
52,Goal,Normal Goal,K. Walker,Manchester City,102
11,Goal,Normal Goal,S. Mustafi,Arsenal,103
45,Goal,Normal Goal,Víctor Camarasa,Cardiff,103
62,Goal,Normal Goal,P. Aubameyang,Arsenal,103
70,Goal,Normal Goal,D. Ward,Cardiff,103
81,Goal,Normal Goal,A. Lacazette,Arsenal,103
27,Goal,Normal Goal,R. Lukaku,Manchester United,97
44,Goal,Normal Goal,R. Lukaku,Manchester United,97
53,Goal,Own Goal,A. Doucouré,Tottenham,104
69,Goal,Normal Goal,T. Deeney,Watford,104
76,Goal,Normal Goal,C. Cathcart,Watford,104
39,Goal,Normal Goal,G. Wijnaldum,Liverpool,105
54,Goal,Normal Goal,Roberto Firmino,Liverpool,105
90,Goal,Normal Goal,E. Lamela,Tottenham,105
19,Goal,Normal Goal,R. Fraser,Bournemouth,106
37,Goal,Normal Goal,R. Fraser,Bournemouth,106
41,Goal,Penalty,J. King,Bournemouth,106
81,Goal,Normal Goal,A. Smith,Bournemouth,106
88,Goal,Penalty,J. Maddison,Leicester,106
89,Goal,Normal Goal,M. Albrighton,Leicester,106
16,Goal,Normal Goal,S. Bamba,Cardiff,107
37,Goal,Normal Goal,E. Hazard,Chelsea,107
43,Goal,Normal Goal,E. Hazard,Chelsea,107
80,Goal,Penalty,E. Hazard,Chelsea,107
83,Goal,Normal Goal,Willian,Chelsea,107
38,Goal,Normal Goal,W. Zaha,Crystal Palace,108
2,Goal,Normal Goal,L. Sané,Manchester City,109
21,Goal,Normal Goal,David Silva,Manchester City,109
47,Goal,Normal Goal,R. Sterling,Manchester City,109
49,Goal,Normal Goal,G. Xhaka,Arsenal,110
58,Goal,Normal Goal,M. Özil,Arsenal,110
90,Goal,Normal Goal,C. Clark,Newcastle,110
35,Goal,Normal Goal,R. Lukaku,Manchester United,111
38,Goal,Normal Goal,C. Smalling,Manchester United,111
65,Goal,Normal Goal,A. Gray,Watford,111
61,Goal,Normal Goal,R. Jiménez,Wolves,112
11,Goal,Normal Goal,A. Yarmolenko,West Ham,113
31,Goal,Normal Goal,A. Yarmolenko,West Ham,113
45,Goal,Normal Goal,G. Sigurðsson,Everton,113
61,Goal,Normal Goal,M. Arnautović,West Ham,113
35,Goal,Normal Goal,P. Højbjerg,Southampton,114
65,Goal,Penalty,D. Ings,Southampton,114
67,Goal,Normal Goal,S. Duffy,Brighton,114
90,Goal,Penalty,G. Murray,Brighton,114
39,Goal,Normal Goal,M. Vydra,Burnley,116
41,Goal,Normal Goal,A. Lennon,Burnley,116
83,Goal,Normal Goal,A. Barnes,Burnley,116
88,Goal,Normal Goal,A. Barnes,Burnley,116
32,Goal,Normal Goal,S. Agüero,Manchester City,117
35,Goal,Normal Goal,Bernardo Silva,Manchester City,117
44,Goal,Normal Goal,İ. Gündoğan,Manchester City,117
67,Goal,Normal Goal,R. Mahrez,Manchester City,117
89,Goal,Normal Goal,R. Mahrez,Manchester City,117
5,Goal,Normal Goal,M. Jørgensen,Huddersfield,119
19,Goal,Normal Goal,K. Iheanacho,Leicester,119
66,Goal,Normal Goal,J. Maddison,Leicester,119
75,Goal,Normal Goal,J. Vardy,Leicester,119
10,Goal,Own Goal,W. Hoedt,Liverpool,120
21,Goal,Normal Goal,J. Matip,Liverpool,120
45,Goal,Normal Goal,Mohamed Salah,Liverpool,120
18,Goal,Normal Goal,Fred,Manchester United,121
53,Goal,Normal Goal,João Moutinho,Wolves,121
42,Goal,Penalty,H. Kane,Tottenham,122
76,Goal,Normal Goal,E. Lamela,Tottenham,122
90,Goal,Normal Goal,A. Knockaert,Brighton,122
56,Goal,Normal Goal,A. Lacazette,Arsenal,124
59,Goal,Normal Goal,P. Aubameyang,Arsenal,124
5,Goal,Normal Goal,Felipe Anderson,West Ham,125
43,Goal,Own Goal,V. Lindelöf,West Ham,125
71,Goal,Normal Goal,M. Rashford,Manchester United,125
74,Goal,Normal Goal,M. Arnautović,West Ham,125
81,Goal,Own Goal,C. Cathcart,Arsenal,126
83,Goal,Normal Goal,M. Özil,Arsenal,126
56,Goal,Normal Goal,G. Sigurðsson,Everton,127
66,Goal,Normal Goal,C. Tosun,Everton,127
89,Goal,Normal Goal,G. Sigurðsson,Everton,127
25,Goal,Normal Goal,H. Kane,Tottenham,128
34,Goal,Penalty,H. Kane,Tottenham,128
29,Goal,Normal Goal,R. Sterling,Manchester City,129
65,Goal,Normal Goal,S. Agüero,Manchester City,129
30,Goal,Penalty,J. Vardy,Leicester,130
73,Goal,Normal Goal,H. Maguire,Leicester,130
79,Goal,Normal Goal,Ivan Cavaleiro,Wolves,131
87,Goal,Normal Goal,Jonny Castro,Wolves,131
25,Goal,Normal Goal,E. Hazard,Chelsea,132
89,Goal,Normal Goal,D. Sturridge,Liverpool,132
51,Goal,Normal Goal,J. Guðmunds­son,Burnley,133
60,Goal,Normal Goal,Josh Murphy,Cardiff,133
70,Goal,Normal Goal,S. Vokes,Burnley,133
5,Goal,Normal Goal,D. Brooks,Bournemouth,134
55,Goal,Normal Goal,P. van Aanholt,Crystal Palace,134
87,Goal,Penalty,J. Stanislas,Bournemouth,134
25,Goal,Normal Goal,G. Murray,Brighton,135
20,Goal,Normal Goal,S. Vokes,Burnley,136
66,Goal,Normal Goal,C. Schindler,Huddersfield,136
56,Goal,Normal Goal,M. Doherty,Wolves,137
7,Goal,Normal Goal,Richarlison,Everton,139
40,Goal,Normal Goal,Ricardo Pereira,Leicester,139
77,Goal,Normal Goal,G. Sigurðsson,Everton,139
8,Goal,Normal Goal,E. Dier,Tottenham,143
14,Goal,Normal Goal,D. Brooks,Bournemouth,144
33,Goal,Penalty,J. King,Bournemouth,144
45,Goal,Normal Goal,J. King,Bournemouth,144
47,Goal,Normal Goal,C. Wilson,Bournemouth,144
7,Goal,Normal Goal,Kenedy,Newcastle,141
10,Goal,Normal Goal,Y. Muto,Newcastle,141
70,Goal,Normal Goal,Mata,Manchester United,141
76,Goal,Normal Goal,A. Martial,Manchester United,141
90,Goal,Normal Goal,A. Sánchez,Manchester United,141
29,Goal,Normal Goal,A. Lacazette,Arsenal,138
44,Goal,Normal Goal,A. Schürrle,Fulham,138
49,Goal,Normal Goal,A. Lacazette,Arsenal,138
67,Goal,Normal Goal,A. Ramsey,Arsenal,138
79,Goal,Normal Goal,P. Aubameyang,Arsenal,138
90,Goal,Normal Goal,P. Aubameyang,Arsenal,138
30,Goal,Normal Goal,E. Hazard,Chelsea,142
57,Goal,Normal Goal,R. Barkley,Chelsea,142
90,Goal,Normal Goal,Álvaro Morata,Chelsea,142
21,Goal,Normal Goal,A. Rüdiger,Chelsea,148
55,Goal,Normal Goal,A. Martial,Manchester United,148
73,Goal,Normal Goal,A. Martial,Manchester United,148
90,Goal,Normal Goal,R. Barkley,Chelsea,148
11,Goal,Normal Goal,A. Schürrle,Fulham,147
15,Goal,Normal Goal,Josh Murphy,Cardiff,147
20,Goal,Normal Goal,B. Reid,Cardiff,147
34,Goal,Normal Goal,R. Sessegnon,Fulham,147
65,Goal,Normal Goal,C. Paterson,Cardiff,147
87,Goal,Normal Goal,K. Harris,Cardiff,147
17,Goal,Normal Goal,S. Agüero,Manchester City,151
54,Goal,Normal Goal,Bernardo Silva,Manchester City,151
56,Goal,Normal Goal,Fernandinho,Manchester City,151
83,Goal,Normal Goal,R. Mahrez,Manchester City,151
90,Goal,Normal Goal,L. Sané,Manchester City,151
29,Goal,Normal Goal,B. Kayal,Brighton,152
44,Goal,Normal Goal,E. Lamela,Tottenham,153
20,Goal,Normal Goal,E. Capoue,Watford,154
21,Goal,Normal Goal,R. Pereyra,Watford,154
24,Goal,Normal Goal,Mohamed Salah,Liverpool,150
87,Goal,Normal Goal,D. Calvert-Lewin,Everton,149
89,Goal,Normal Goal,C. Tosun,Everton,149
31,Goal,Own Goal,Bellerín,Leicester,145
45,Goal,Normal Goal,M. Özil,Arsenal,145
63,Goal,Normal Goal,P. Aubameyang,Arsenal,145
66,Goal,Normal Goal,P. Aubameyang,Arsenal,145
48,Goal,Normal Goal,G. Murray,Brighton,155
14,Goal,Penalty,C. Wilson,Bournemouth,158
72,Goal,Normal Goal,D. Brooks,Bournemouth,158
85,Goal,Normal Goal,C. Wilson,Bournemouth,158
10,Goal,Normal Goal,Mohamed Salah,Liverpool,160
66,Goal,Normal Goal,S. Mané,Liverpool,160
77,Goal,Normal Goal,C. Paterson,Cardiff,160
84,Goal,Normal Goal,X. Shaqiri,Liverpool,160
87,Goal,Normal Goal,S. Mané,Liverpool,160
10,Goal,Normal Goal,R. Pereyra,Watford,164
19,Goal,Normal Goal,Deulofeu,Watford,164
80,Goal,Normal Goal,I. Success,Watford,164
30,Goal,Normal Goal,F. Balbuena,West Ham,159
89,Goal,Normal Goal,W. Ndidi,Leicester,159
22,Goal,Normal Goal,Álvaro Morata,Chelsea,156
57,Goal,Normal Goal,R. Barkley,Chelsea,156
62,Goal,Normal Goal,Willian,Chelsea,156
90,Goal,Normal Goal,R. Loftus-Cheek,Chelsea,156
45,Goal,Penalty,L. Milivojević,Crystal Palace,157
51,Goal,Normal Goal,G. Xhaka,Arsenal,157
56,Goal,Normal Goal,P. Aubameyang,Arsenal,157
83,Goal,Penalty,L. Milivojević,Crystal Palace,157
27,Goal,Normal Goal,P. Pogba,Manchester United,161
49,Goal,Normal Goal,A. Martial,Manchester United,161
77,Goal,Penalty,G. Sigurðsson,Everton,161
6,Goal,Normal Goal,R. Mahrez,Manchester City,163
11,Goal,Normal Goal,C. Wilson,Bournemouth,166
35,Goal,Normal Goal,A. Martial,Manchester United,166
90,Goal,Normal Goal,M. Rashford,Manchester United,166
55,Goal,Normal Goal,D. Gray,Leicester,167
26,Goal,Normal Goal,Richarlison,Everton,169
33,Goal,Normal Goal,L. Dunk,Brighton,169
50,Goal,Normal Goal,S. Coleman,Everton,169
77,Goal,Normal Goal,Richarlison,Everton,169
65,Goal,Normal Goal,Ayoze Pérez,Newcastle,172
10,Goal,Normal Goal,M. Arnautović,West Ham,173
45,Goal,Normal Goal,J. Guðmunds­son,Burnley,173
68,Goal,Normal Goal,Felipe Anderson,West Ham,173
77,Goal,Normal Goal,C. Wood,Burnley,173
84,Goal,Normal Goal,Felipe Anderson,West Ham,173
