id_match,id_team_home,name_team_home,id_team_away,name_team_away,score_HT,score_FT
166.0,35.0,Bournemouth,33.0,Manchester United,1-1,1-2
167.0,43.0,Cardiff,46.0,Leicester,0-0,0-1
169.0,45.0,Everton,51.0,Brighton,1-1,3-1
172.0,34.0,Newcastle,38.0,Watford,0-0,1-0
173.0,48.0,West Ham,44.0,Burnley,1-1,4-2
165.0,42.0,Arsenal,40.0,Liverpool,0-0,1-1
174.0,39.0,Wolves,47.0,Tottenham,0-2,2-3
171.0,50.0,Manchester City,41.0,Southampton,4-1,6-1
168.0,49.0,Chelsea,52.0,Crystal Palace,1-0,3-1
170.0,37.0,Huddersfield,36.0,Fulham,1-0,1-0
176.0,43.0,Cardiff,51.0,Brighton,1-1,2-1
179.0,37.0,Huddersfield,48.0,West Ham,1-0,1-1
180.0,46.0,Leicester,44.0,Burnley,0-0,0-0
183.0,34.0,Newcastle,35.0,Bournemouth,2-1,2-1
184.0,41.0,Southampton,38.0,Watford,1-0,1-1
178.0,52.0,Crystal Palace,47.0,Tottenham,0-0,0-1
181.0,40.0,Liverpool,36.0,Fulham,1-0,2-0
177.0,49.0,Chelsea,45.0,Everton,0-0,0-0
175.0,42.0,Arsenal,39.0,Wolves,0-1,1-1
182.0,50.0,Manchester City,33.0,Manchester United,1-0,3-1
186.0,51.0,Brighton,46.0,Leicester,1-0,1-1
188.0,45.0,Everton,43.0,Cardiff,0-0,1-0
189.0,36.0,Fulham,41.0,Southampton,2-1,3-2
190.0,33.0,Manchester United,52.0,Crystal Palace,0-0,0-0
192.0,38.0,Watford,40.0,Liverpool,0-0,0-3
193.0,48.0,West Ham,50.0,Manchester City,0-3,0-4
191.0,47.0,Tottenham,49.0,Chelsea,2-0,3-1
185.0,35.0,Bournemouth,42.0,Arsenal,1-1,1-2
194.0,39.0,Wolves,37.0,Huddersfield,0-1,0-2
187.0,44.0,Burnley,34.0,Newcastle,1-2,1-2
196.0,43.0,Cardiff,39.0,Wolves,0-1,2-1
198.0,52.0,Crystal Palace,44.0,Burnley,1-0,2-0
199.0,37.0,Huddersfield,51.0,Brighton,1-1,1-2
200.0,46.0,Leicester,38.0,Watford,2-0,2-0
202.0,50.0,Manchester City,35.0,Bournemouth,1-1,3-1
203.0,34.0,Newcastle,48.0,West Ham,0-1,0-3
204.0,41.0,Southampton,33.0,Manchester United,2-2,2-2
197.0,49.0,Chelsea,36.0,Fulham,1-0,2-0
195.0,42.0,Arsenal,47.0,Tottenham,1-2,4-2
201.0,40.0,Liverpool,45.0,Everton,0-0,1-0
205.0,35.0,Bournemouth,37.0,Huddersfield,2-1,2-1
206.0,51.0,Brighton,52.0,Crystal Palace,3-0,3-1
210.0,48.0,West Ham,43.0,Cardiff,0-0,3-1
209.0,38.0,Watford,50.0,Manchester City,0-1,1-2
207.0,44.0,Burnley,40.0,Liverpool,0-0,1-3
208.0,36.0,Fulham,46.0,Leicester,1-0,1-1
211.0,39.0,Wolves,49.0,Chelsea,0-1,2-1
213.0,45.0,Everton,34.0,Newcastle,1-1,1-1
212.0,33.0,Manchester United,42.0,Arsenal,1-1,2-2
214.0,47.0,Tottenham,41.0,Southampton,1-0,3-1
216.0,35.0,Bournemouth,40.0,Liverpool,0-1,0-4
215.0,42.0,Arsenal,37.0,Huddersfield,0-0,1-0
217.0,44.0,Burnley,51.0,Brighton,1-0,1-0
218.0,43.0,Cardiff,41.0,Southampton,0-0,1-0
222.0,33.0,Manchester United,36.0,Fulham,3-0,4-1
224.0,48.0,West Ham,52.0,Crystal Palace,0-1,3-2
219.0,49.0,Chelsea,50.0,Manchester City,1-0,2-0
221.0,46.0,Leicester,47.0,Tottenham,0-1,0-2
223.0,34.0,Newcastle,39.0,Wolves,1-1,1-2
220.0,45.0,Everton,38.0,Watford,1-0,2-2
230.0,50.0,Manchester City,45.0,Everton,1-0,3-1
226.0,52.0,Crystal Palace,46.0,Leicester,1-0,1-0
228.0,37.0,Huddersfield,34.0,Newcastle,0-0,0-1
232.0,47.0,Tottenham,44.0,Burnley,0-0,1-0
233.0,38.0,Watford,43.0,Cardiff,1-0,3-2
234.0,39.0,Wolves,35.0,Bournemouth,1-0,2-0
227.0,36.0,Fulham,48.0,West Ham,0-2,0-2
225.0,51.0,Brighton,49.0,Chelsea,0-2,1-2
231.0,41.0,Southampton,42.0,Arsenal,2-1,3-2
229.0,40.0,Liverpool,33.0,Manchester United,1-1,3-1
244.0,39.0,Wolves,40.0,Liverpool,0-1,0-2
235.0,42.0,Arsenal,44.0,Burnley,1-0,3-1
236.0,35.0,Bournemouth,51.0,Brighton,1-0,2-0
238.0,49.0,Chelsea,46.0,Leicester,0-0,0-1
240.0,37.0,Huddersfield,41.0,Southampton,0-2,1-3
241.0,50.0,Manchester City,52.0,Crystal Palace,1-2,2-3
242.0,34.0,Newcastle,36.0,Fulham,0-0,0-0
243.0,48.0,West Ham,38.0,Watford,0-1,0-2
237.0,43.0,Cardiff,33.0,Manchester United,1-3,1-5
239.0,45.0,Everton,47.0,Tottenham,1-3,2-6
248.0,36.0,Fulham,39.0,Wolves,0-0,1-1
246.0,44.0,Burnley,45.0,Everton,1-3,1-5
247.0,52.0,Crystal Palace,43.0,Cardiff,0-0,0-0
249.0,46.0,Leicester,50.0,Manchester City,1-1,2-1
250.0,40.0,Liverpool,34.0,Newcastle,1-0,4-0
251.0,33.0,Manchester United,37.0,Huddersfield,1-0,3-1
253.0,47.0,Tottenham,35.0,Bournemouth,3-0,5-0
245.0,51.0,Brighton,42.0,Arsenal,1-1,1-1
254.0,38.0,Watford,49.0,Chelsea,1-1,1-2
252.0,41.0,Southampton,48.0,West Ham,0-0,1-2
255.0,51.0,Brighton,45.0,Everton,0-0,1-0
258.0,36.0,Fulham,37.0,Huddersfield,0-0,1-0
259.0,46.0,Leicester,43.0,Cardiff,0-0,0-1
263.0,47.0,Tottenham,39.0,Wolves,1-0,1-3
264.0,38.0,Watford,34.0,Newcastle,0-1,1-1
260.0,40.0,Liverpool,42.0,Arsenal,4-1,5-1
257.0,52.0,Crystal Palace,49.0,Chelsea,0-0,0-1
256.0,44.0,Burnley,48.0,West Ham,2-0,2-0
262.0,41.0,Southampton,50.0,Manchester City,1-3,1-3
261.0,33.0,Manchester United,35.0,Bournemouth,3-1,4-1
269.0,45.0,Everton,46.0,Leicester,0-0,0-1
265.0,42.0,Arsenal,36.0,Fulham,1-0,4-1
267.0,43.0,Cardiff,47.0,Tottenham,0-3,0-3
268.0,49.0,Chelsea,41.0,Southampton,0-0,0-0
270.0,37.0,Huddersfield,44.0,Burnley,1-1,1-2
273.0,48.0,West Ham,51.0,Brighton,0-0,2-2
274.0,39.0,Wolves,52.0,Crystal Palace,0-0,0-2
266.0,35.0,Bournemouth,38.0,Watford,3-3,3-3
272.0,34.0,Newcastle,33.0,Manchester United,0-0,0-2
271.0,50.0,Manchester City,40.0,Liverpool,1-0,2-1
284.0,48.0,West Ham,42.0,Arsenal,0-0,1-0
275.0,51.0,Brighton,40.0,Liverpool,0-0,0-1
276.0,44.0,Burnley,36.0,Fulham,2-1,2-1
277.0,43.0,Cardiff,37.0,Huddersfield,0-0,0-0
279.0,52.0,Crystal Palace,38.0,Watford,1-0,1-2
281.0,46.0,Leicester,41.0,Southampton,0-2,1-2
278.0,49.0,Chelsea,34.0,Newcastle,1-1,2-1
280.0,45.0,Everton,35.0,Bournemouth,0-0,2-0
283.0,47.0,Tottenham,33.0,Manchester United,0-1,0-1
282.0,50.0,Manchester City,39.0,Wolves,2-0,3-0
294.0,39.0,Wolves,46.0,Leicester,2-0,4-3
286.0,35.0,Bournemouth,48.0,West Ham,0-0,2-0
289.0,40.0,Liverpool,52.0,Crystal Palace,0-1,4-3
290.0,33.0,Manchester United,51.0,Brighton,2-0,2-1
291.0,34.0,Newcastle,43.0,Cardiff,1-0,3-0
292.0,41.0,Southampton,45.0,Everton,0-0,2-1
293.0,38.0,Watford,44.0,Burnley,0-0,0-0
285.0,42.0,Arsenal,49.0,Chelsea,2-0,2-0
288.0,37.0,Huddersfield,50.0,Manchester City,0-1,0-3
287.0,36.0,Fulham,47.0,Tottenham,1-0,1-2
295.0,42.0,Arsenal,43.0,Cardiff,0-0,2-1
297.0,36.0,Fulham,51.0,Brighton,0-2,4-2
298.0,37.0,Huddersfield,45.0,Everton,0-1,0-1
299.0,39.0,Wolves,48.0,West Ham,0-0,3-0
300.0,33.0,Manchester United,44.0,Burnley,0-0,2-2
301.0,34.0,Newcastle,50.0,Manchester City,0-1,2-1
296.0,35.0,Bournemouth,49.0,Chelsea,0-0,4-0
302.0,41.0,Southampton,52.0,Crystal Palace,0-1,1-1
303.0,40.0,Liverpool,46.0,Leicester,1-1,1-1
304.0,47.0,Tottenham,38.0,Watford,0-1,2-1
313.0,47.0,Tottenham,34.0,Newcastle,0-0,1-0
305.0,51.0,Brighton,38.0,Watford,0-0,0-0
306.0,44.0,Burnley,41.0,Southampton,0-0,1-1
308.0,49.0,Chelsea,37.0,Huddersfield,2-0,5-0
309.0,52.0,Crystal Palace,36.0,Fulham,1-0,2-0
310.0,45.0,Everton,39.0,Wolves,1-2,1-3
307.0,43.0,Cardiff,35.0,Bournemouth,1-0,2-0
311.0,46.0,Leicester,33.0,Manchester United,0-1,0-1
312.0,50.0,Manchester City,42.0,Arsenal,2-1,3-1
314.0,48.0,West Ham,40.0,Liverpool,1-1,1-1
330.0,45.0,Everton,50.0,Manchester City,0-1,0-2
317.0,36.0,Fulham,33.0,Manchester United,0-2,0-3
316.0,52.0,Crystal Palace,48.0,West Ham,0-1,1-1
318.0,37.0,Huddersfield,42.0,Arsenal,0-2,1-2
319.0,40.0,Liverpool,35.0,Bournemouth,2-0,3-0
321.0,41.0,Southampton,43.0,Cardiff,0-0,1-2
323.0,38.0,Watford,45.0,Everton,0-0,1-0
315.0,51.0,Brighton,44.0,Burnley,0-1,1-3
322.0,47.0,Tottenham,46.0,Leicester,1-0,3-1
320.0,50.0,Manchester City,49.0,Chelsea,4-0,6-0
324.0,39.0,Wolves,34.0,Newcastle,0-0,1-1
328.0,43.0,Cardiff,38.0,Watford,0-1,1-5
334.0,48.0,West Ham,36.0,Fulham,2-1,3-1
327.0,44.0,Burnley,47.0,Tottenham,0-0,2-1
326.0,35.0,Bournemouth,39.0,Wolves,1-0,1-1
333.0,34.0,Newcastle,37.0,Huddersfield,0-0,2-0
331.0,46.0,Leicester,52.0,Crystal Palace,0-1,1-4
325.0,42.0,Arsenal,41.0,Southampton,2-0,2-0
332.0,33.0,Manchester United,40.0,Liverpool,0-0,0-0
336.0,43.0,Cardiff,45.0,Everton,0-1,0-3
337.0,37.0,Huddersfield,39.0,Wolves,0-0,1-0
338.0,46.0,Leicester,51.0,Brighton,1-0,2-1
341.0,34.0,Newcastle,44.0,Burnley,2-0,2-0
335.0,42.0,Arsenal,35.0,Bournemouth,2-1,5-1
342.0,41.0,Southampton,36.0,Fulham,2-0,2-0
339.0,52.0,Crystal Palace,33.0,Manchester United,0-1,1-3
340.0,49.0,Chelsea,47.0,Tottenham,0-0,2-0
343.0,40.0,Liverpool,38.0,Watford,2-0,5-0
344.0,50.0,Manchester City,48.0,West Ham,0-0,1-0
351.0,47.0,Tottenham,42.0,Arsenal,0-1,1-1
345.0,35.0,Bournemouth,50.0,Manchester City,0-0,0-1
346.0,51.0,Brighton,37.0,Huddersfield,0-0,1-0
347.0,44.0,Burnley,52.0,Crystal Palace,0-1,1-3
350.0,33.0,Manchester United,41.0,Southampton,0-1,3-2
354.0,39.0,Wolves,43.0,Cardiff,2-0,2-0
353.0,48.0,West Ham,34.0,Newcastle,2-0,2-0
352.0,38.0,Watford,46.0,Leicester,1-0,2-1
349.0,36.0,Fulham,49.0,Chelsea,1-2,1-2
348.0,45.0,Everton,40.0,Liverpool,0-0,0-0
358.0,52.0,Crystal Palace,51.0,Brighton,0-1,1-2
356.0,43.0,Cardiff,48.0,West Ham,1-0,2-0
359.0,37.0,Huddersfield,35.0,Bournemouth,0-1,0-2
360.0,46.0,Leicester,36.0,Fulham,1-0,3-1
363.0,34.0,Newcastle,45.0,Everton,0-2,3-2
364.0,41.0,Southampton,47.0,Tottenham,0-1,2-1
362.0,50.0,Manchester City,38.0,Watford,0-0,3-1
361.0,40.0,Liverpool,44.0,Burnley,2-1,4-2
357.0,49.0,Chelsea,39.0,Wolves,0-0,1-1
355.0,42.0,Arsenal,33.0,Manchester United,1-0,2-0
365.0,35.0,Bournemouth,34.0,Newcastle,0-1,2-2
367.0,44.0,Burnley,46.0,Leicester,1-1,1-2
373.0,48.0,West Ham,37.0,Huddersfield,1-2,4-3
369.0,36.0,Fulham,40.0,Liverpool,0-1,1-2
368.0,45.0,Everton,49.0,Chelsea,0-0,2-0
380.0,36.0,Fulham,50.0,Manchester City,0-2,0-2
376.0,51.0,Brighton,41.0,Southampton,0-0,0-1
377.0,44.0,Burnley,39.0,Wolves,1-0,2-0
379.0,52.0,Crystal Palace,37.0,Huddersfield,0-0,2-0
381.0,46.0,Leicester,35.0,Bournemouth,1-0,2-0
383.0,33.0,Manchester United,38.0,Watford,1-0,2-1
384.0,48.0,West Ham,45.0,Everton,0-2,0-2
378.0,43.0,Cardiff,49.0,Chelsea,0-0,1-2
382.0,40.0,Liverpool,47.0,Tottenham,1-0,2-1
375.0,42.0,Arsenal,34.0,Newcastle,1-0,2-0
393.0,38.0,Watford,36.0,Fulham,1-1,4-1
394.0,39.0,Wolves,33.0,Manchester United,1-1,2-1
329.0,49.0,Chelsea,51.0,Brighton,1-0,3-0
371.0,47.0,Tottenham,52.0,Crystal Palace,0-0,2-0
389.0,50.0,Manchester City,43.0,Cardiff,2-0,2-0
391.0,41.0,Southampton,40.0,Liverpool,1-1,1-3
385.0,35.0,Bournemouth,44.0,Burnley,1-2,1-3
388.0,37.0,Huddersfield,46.0,Leicester,0-1,1-4
390.0,34.0,Newcastle,52.0,Crystal Palace,0-0,0-1
387.0,45.0,Everton,42.0,Arsenal,1-0,1-0
386.0,49.0,Chelsea,48.0,West Ham,1-0,2-0
399.0,46.0,Leicester,34.0,Newcastle,0-1,0-1
403.0,47.0,Tottenham,37.0,Huddersfield,2-0,4-0
395.0,51.0,Brighton,35.0,Bournemouth,0-1,0-5
396.0,44.0,Burnley,43.0,Cardiff,1-0,2-0
398.0,36.0,Fulham,45.0,Everton,0-0,2-0
402.0,41.0,Southampton,39.0,Wolves,2-1,3-1
401.0,33.0,Manchester United,48.0,West Ham,1-0,2-1
397.0,52.0,Crystal Palace,50.0,Manchester City,0-1,1-3
400.0,40.0,Liverpool,49.0,Chelsea,0-0,2-0
404.0,38.0,Watford,42.0,Arsenal,0-1,0-1
366.0,51.0,Brighton,43.0,Cardiff,0-1,0-2
411.0,50.0,Manchester City,47.0,Tottenham,1-0,1-0
406.0,35.0,Bournemouth,36.0,Fulham,0-0,0-1
410.0,37.0,Huddersfield,38.0,Watford,0-1,1-2
413.0,48.0,West Ham,46.0,Leicester,1-0,2-2
414.0,39.0,Wolves,51.0,Brighton,0-0,0-0
412.0,34.0,Newcastle,41.0,Southampton,2-0,3-1
409.0,45.0,Everton,33.0,Manchester United,2-0,4-0
405.0,42.0,Arsenal,52.0,Crystal Palace,0-1,2-3
407.0,43.0,Cardiff,40.0,Liverpool,0-0,0-2
408.0,49.0,Chelsea,44.0,Burnley,2-2,2-2
372.0,38.0,Watford,41.0,Southampton,0-1,1-1
392.0,47.0,Tottenham,51.0,Brighton,0-0,1-0
