id_match,id_team_home,name_team_home,id_team_away,name_team_away,score_HT,score_FT,0-75_dif,76-90+_dif,0-75,75+,0-15,16-30,31-45,46-59,60-74,75-79,80-84,85-89,90+,year
331.0,46.0,Leicester,52.0,Crystal Palace,0-1,1-4,-1.0,-2.0,3.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,2018
325.0,42.0,Arsenal,41.0,Southampton,2-0,2-0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
332.0,33.0,Manchester United,40.0,Liverpool,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
336.0,43.0,Cardiff,45.0,Everton,0-1,0-3,-2.0,-1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2018
337.0,37.0,Huddersfield,39.0,Wolves,0-0,1-0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2018
338.0,46.0,Leicester,51.0,Brighton,1-0,2-1,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2018
341.0,34.0,Newcastle,44.0,Burnley,2-0,2-0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
335.0,42.0,Arsenal,35.0,Bournemouth,2-1,5-1,3.0,1.0,5.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2018
342.0,41.0,Southampton,36.0,Fulham,2-0,2-0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
339.0,52.0,Crystal Palace,33.0,Manchester United,0-1,1-3,-1.0,-1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2018
340.0,49.0,Chelsea,47.0,Tottenham,0-0,2-0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2018
343.0,40.0,Liverpool,38.0,Watford,2-0,5-0,3.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2018
344.0,50.0,Manchester City,48.0,West Ham,0-0,1-0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2018
351.0,47.0,Tottenham,42.0,Arsenal,0-1,1-1,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2018
