index,id_match,id_team_home,name_team_home,id_team_away,name_team_away,score_HT,score_FT,0-75_dif,76-90+_dif,0-75,75+,0-15,16-30,31-45,46-59,60-74,75-79,80-84,85-89,90+,year,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HW,D,AW,>2.5,<2.5,match_dif,comeback,dif_class,prob_HW,prob_D,prob_AW,prob_25more,prob_25less,id_country,country
661,157302.0,62.0,Sheffield Utd,71.0,Norwich,1-0,1-0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,Sheffield Utd,Norwich,1,0,H,1,0,1.65,3.75,5.75,2.1,1.72,1.0,0.0,1.0,0.5790533736153071,0.2547834843907351,0.1661631419939576,0.450261780104712,0.549738219895288,0,en
662,157303.0,41.0,Southampton,34.0,Newcastle,0-0,0-1,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2019,Southampton,Newcastle,0,1,A,0,0,1.61,4.1,5.25,1.8,2.0,-1.0,1.0,0.0,0.5884604344081906,0.231078365706631,0.1804611998851784,0.5263157894736842,0.4736842105263157,0,en
663,157304.0,39.0,Wolves,51.0,Brighton,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,Wolves,Brighton,0,0,D,0,0,1.61,3.9,5.75,2.0,1.8,0.0,0.0,0.0,0.5907300817933958,0.2438654953044532,0.1654044229021508,0.4736842105263157,0.5263157894736842,0,en
664,157296.0,44.0,Burnley,47.0,Tottenham,1-0,1-1,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2019,Burnley,Tottenham,1,1,D,1,0,2.7,3.3,2.62,2.1,1.72,0.0,0.0,0.0,0.3510353227771011,0.28721071863581,0.3617539585870888,0.450261780104712,0.549738219895288,0,en
665,157297.0,49.0,Chelsea,45.0,Everton,2-0,4-0,4.0,0.0,4.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2019,Chelsea,Everton,4,0,H,2,0,1.8,3.9,4.2,1.72,2.1,4.0,0.0,2.0,0.5290697674418605,0.2441860465116279,0.2267441860465116,0.549738219895288,0.450261780104712,0,en
666,157301.0,33.0,Manchester United,50.0,Manchester City,1-0,2-0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2019,Manchester United,Manchester City,2,0,H,1,0,5.0,4.33,1.6,1.66,2.2,2.0,0.0,1.0,0.1894034665646017,0.2187107004210181,0.5918858330143802,0.5699481865284974,0.4300518134715025,0,en
667,157299.0,46.0,Leicester,66.0,Aston Villa,1-0,4-0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2019,Leicester,Aston Villa,4,0,H,1,0,1.36,5.25,8.0,1.53,2.5,4.0,0.0,2.0,0.6997667444185273,0.1812729090303232,0.1189603465511496,0.6203473945409429,0.3796526054590571,0,en
668,157286.0,66.0,Aston Villa,62.0,Sheffield Utd,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,Aston Villa,Sheffield Utd,0,0,D,0,0,3.2,3.4,2.25,2.1,1.72,0.0,0.0,0.0,0.2973183054799844,0.2798289933929265,0.4228527011270889,0.450261780104712,0.549738219895288,0,en
669,157289.0,50.0,Manchester City,42.0,Arsenal,1-0,3-0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2019,Manchester City,Arsenal,3,0,H,1,0,1.36,5.25,7.5,1.36,3.2,3.0,0.0,2.0,0.6942607775720708,0.1798466014281936,0.1258926209997355,0.7017543859649122,0.2982456140350877,0,en
670,157311.0,71.0,Norwich,41.0,Southampton,0-0,0-3,-2.0,-1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2019,Norwich,Southampton,0,3,A,0,0,2.8,3.5,2.45,1.9,1.9,-3.0,0.0,-2.0,0.3398058252427184,0.2718446601941747,0.3883495145631068,0.5,0.5,0,en
671,157312.0,47.0,Tottenham,33.0,Manchester United,1-0,1-1,1.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,Tottenham,Manchester United,1,1,D,1,0,3.0,3.4,2.37,1.9,1.9,0.0,1.0,1.0,0.3176442762535478,0.2802743614001892,0.4020813623462629,0.5,0.5,0,en
672,157313.0,38.0,Watford,46.0,Leicester,0-0,1-1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2019,Watford,Leicester,1,1,D,0,0,3.6,3.5,2.05,1.9,1.9,0.0,0.0,0.0,0.2642238998342847,0.2717731541152642,0.4640029460504511,0.5,0.5,0,en
673,157307.0,51.0,Brighton,42.0,Arsenal,0-0,2-1,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2019,Brighton,Arsenal,2,1,H,0,0,3.1,3.25,2.37,1.9,1.9,1.0,1.0,0.0,0.3065732651396048,0.2924237298254692,0.4010030050349261,0.5,0.5,0,en
674,157314.0,48.0,West Ham,39.0,Wolves,0-0,0-2,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2019,West Ham,Wolves,0,2,A,0,0,3.6,3.4,2.1,2.0,1.8,-2.0,0.0,-1.0,0.2650334075723831,0.2806236080178174,0.4543429844097996,0.4736842105263157,0.5263157894736842,0,en
675,157305.0,35.0,Bournemouth,52.0,Crystal Palace,0-2,0-2,-2.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,Bournemouth,Crystal Palace,0,2,A,0,2,2.45,3.2,3.0,2.1,1.72,-2.0,0.0,-2.0,0.3872529245663574,0.2964905203711174,0.3162565550625252,0.450261780104712,0.549738219895288,0,en
676,157310.0,34.0,Newcastle,62.0,Sheffield Utd,0-0,3-0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2019,Newcastle,Sheffield Utd,3,0,H,0,0,3.3,3.1,2.37,2.5,1.53,3.0,0.0,2.0,0.2892747460429955,0.307937632884479,0.4027876210725253,0.3796526054590571,0.6203473945409429,0,en
677,157306.0,66.0,Aston Villa,49.0,Chelsea,1-0,1-2,-1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2019,Aston Villa,Chelsea,1,2,A,1,0,6.0,4.5,1.5,1.57,2.37,-1.0,0.0,-1.0,0.1578947368421052,0.2105263157894737,0.6315789473684211,0.6015228426395939,0.398477157360406,0,en
678,157308.0,45.0,Everton,40.0,Liverpool,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,Everton,Liverpool,0,0,D,0,0,6.0,4.2,1.55,1.66,2.2,0.0,0.0,0.0,0.1587417702999268,0.226773957571324,0.6144842721287491,0.5699481865284974,0.4300518134715025,0,en
679,157309.0,50.0,Manchester City,44.0,Burnley,3-0,5-0,5.0,0.0,5.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2019,Manchester City,Burnley,5,0,H,3,0,1.12,9.0,15.0,1.33,3.4,5.0,0.0,2.0,0.8339510748702742,0.1037805782060785,0.0622683469236471,0.7188160676532769,0.281183932346723,0,en
680,157317.0,46.0,Leicester,51.0,Brighton,0-0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019,Leicester,Brighton,0,0,D,0,0,1.6,4.0,5.75,1.9,1.9,0.0,0.0,0.0,0.5958549222797929,0.2383419689119171,0.1658031088082901,0.5,0.5,0,en
