id_match,id_team_home,name_team_home,id_team_away,name_team_away,score_HT,score_FT
592143.0,36.0,Fulham,42.0,Arsenal,0-1,0-3
592142.0,52.0,Crystal Palace,41.0,Southampton,1-0,1-0
592144.0,40.0,Liverpool,63.0,Leeds,3-2,4-3
592148.0,48.0,West Ham,34.0,Newcastle,0-0,0-2
592147.0,60.0,West Brom,46.0,Leicester,0-0,0-3
592146.0,47.0,Tottenham,45.0,Everton,0-0,0-1
592150.0,62.0,Sheffield Utd,39.0,Wolves,0-2,0-2
592149.0,51.0,Brighton,49.0,Chelsea,0-1,1-3
592154.0,45.0,Everton,60.0,West Brom,2-1,5-2
592155.0,63.0,Leeds,36.0,Fulham,2-1,4-3
592157.0,33.0,Manchester United,52.0,Crystal Palace,0-1,1-3
592151.0,42.0,Arsenal,48.0,West Ham,1-1,2-1
592159.0,41.0,Southampton,47.0,Tottenham,1-1,2-5
592158.0,34.0,Newcastle,51.0,Brighton,0-2,0-3
592153.0,49.0,Chelsea,40.0,Liverpool,0-0,0-2
592156.0,46.0,Leicester,44.0,Burnley,1-1,4-2
592152.0,66.0,Aston Villa,62.0,Sheffield Utd,0-0,1-0
592160.0,39.0,Wolves,50.0,Manchester City,0-2,1-3
592161.0,51.0,Brighton,33.0,Manchester United,1-1,2-3
592163.0,52.0,Crystal Palace,45.0,Everton,1-2,1-2
592169.0,60.0,West Brom,49.0,Chelsea,3-0,3-3
592162.0,44.0,Burnley,41.0,Southampton,0-1,0-1
592167.0,62.0,Sheffield Utd,63.0,Leeds,0-0,0-1
592168.0,47.0,Tottenham,34.0,Newcastle,1-0,1-1
592166.0,50.0,Manchester City,46.0,Leicester,1-1,2-5
592170.0,48.0,West Ham,39.0,Wolves,1-0,4-0
592164.0,36.0,Fulham,66.0,Aston Villa,0-2,0-3
592165.0,40.0,Liverpool,42.0,Arsenal,2-1,3-1
592173.0,49.0,Chelsea,52.0,Crystal Palace,0-0,4-0
592174.0,45.0,Everton,51.0,Brighton,2-1,4-2
592175.0,63.0,Leeds,50.0,Manchester City,0-1,1-1
592178.0,34.0,Newcastle,44.0,Burnley,1-0,3-1
592176.0,46.0,Leicester,48.0,West Ham,0-2,0-3
592179.0,41.0,Southampton,60.0,West Brom,1-0,2-0
592171.0,42.0,Arsenal,62.0,Sheffield Utd,0-0,2-1
592180.0,39.0,Wolves,36.0,Fulham,0-0,1-0
592177.0,33.0,Manchester United,47.0,Tottenham,1-4,1-6
592172.0,66.0,Aston Villa,40.0,Liverpool,4-1,7-2
592183.0,45.0,Everton,40.0,Liverpool,1-1,2-2
592181.0,49.0,Chelsea,41.0,Southampton,2-1,3-3
592186.0,50.0,Manchester City,42.0,Arsenal,1-0,1-0
592187.0,34.0,Newcastle,33.0,Manchester United,1-1,1-4
592188.0,62.0,Sheffield Utd,36.0,Fulham,0-0,1-1
592182.0,52.0,Crystal Palace,51.0,Brighton,1-0,1-1
592189.0,47.0,Tottenham,48.0,West Ham,3-0,3-3
592185.0,46.0,Leicester,66.0,Aston Villa,0-0,0-1
592190.0,60.0,West Brom,44.0,Burnley,0-0,0-0
592184.0,63.0,Leeds,39.0,Wolves,0-0,0-1
592192.0,66.0,Aston Villa,63.0,Leeds,0-0,0-3
592199.0,48.0,West Ham,50.0,Manchester City,1-0,1-1
592195.0,36.0,Fulham,52.0,Crystal Palace,0-1,1-2
